,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type,variable,motivo
13793,1.0,1.0,,22.0,22.0,95000.0,Departamento,bathrooms,Descartado por dato faltante
14166,1.0,0.0,,35.0,32.0,85037.0,Departamento,bathrooms,Descartado por dato faltante
14193,2.0,1.0,,28.0,,65000.0,Departamento,bathrooms,Descartado por dato faltante
14211,2.0,1.0,,47.0,44.0,159000.0,Departamento,bathrooms,Descartado por dato faltante
14212,2.0,1.0,,50.0,43.0,260000.0,Departamento,bathrooms,Descartado por dato faltante
14238,3.0,2.0,,373.0,215.0,230000.0,Casa,bathrooms,Descartado por dato faltante
14273,3.0,2.0,,60.0,60.0,140000.0,PH,bathrooms,Descartado por dato faltante
14281,3.0,2.0,,53.0,53.0,144000.0,Departamento,bathrooms,Descartado por dato faltante
14282,3.0,2.0,,70.0,60.0,168000.0,Departamento,bathrooms,Descartado por dato faltante
14292,3.0,2.0,,91.0,,270000.0,Departamento,bathrooms,Descartado por dato faltante
14294,3.0,2.0,,77.0,65.0,170000.0,Departamento,bathrooms,Descartado por dato faltante
14300,3.0,2.0,,51.0,51.0,115000.0,Departamento,bathrooms,Descartado por dato faltante
14307,4.0,3.0,,220.0,147.0,368000.0,Casa,bathrooms,Descartado por dato faltante
14352,7.0,6.0,,505.0,352.0,920000.0,Casa,bathrooms,Descartado por dato faltante
14353,4.0,3.0,,180.0,120.0,240000.0,PH,bathrooms,Descartado por dato faltante
14383,1.0,0.0,,,,68000.0,Departamento,bathrooms,Descartado por dato faltante
14642,3.0,2.0,,,,220000.0,Departamento,bathrooms,Descartado por dato faltante
14797,4.0,3.0,,,,315000.0,Departamento,bathrooms,Descartado por dato faltante
14897,1.0,0.0,,,,119500.0,Departamento,bathrooms,Descartado por dato faltante
14900,1.0,0.0,,,,72000.0,Departamento,bathrooms,Descartado por dato faltante
14901,1.0,1.0,,,,89500.0,Departamento,bathrooms,Descartado por dato faltante
14920,1.0,0.0,,,,100000.0,Departamento,bathrooms,Descartado por dato faltante
14921,1.0,0.0,,,,100000.0,Departamento,bathrooms,Descartado por dato faltante
14954,2.0,1.0,,,,120000.0,Departamento,bathrooms,Descartado por dato faltante
15007,2.0,1.0,,,,156000.0,Departamento,bathrooms,Descartado por dato faltante
15017,2.0,1.0,,,,143900.0,Departamento,bathrooms,Descartado por dato faltante
15025,2.0,1.0,,,,110000.0,Departamento,bathrooms,Descartado por dato faltante
15026,2.0,1.0,,,,69000.0,Departamento,bathrooms,Descartado por dato faltante
15030,2.0,1.0,,,,82500.0,Departamento,bathrooms,Descartado por dato faltante
15175,3.0,2.0,,,,180000.0,Departamento,bathrooms,Descartado por dato faltante
15199,3.0,2.0,,,,225000.0,Departamento,bathrooms,Descartado por dato faltante
15224,3.0,2.0,,,,162000.0,Departamento,bathrooms,Descartado por dato faltante
15268,3.0,2.0,,,,282000.0,Departamento,bathrooms,Descartado por dato faltante
15446,5.0,4.0,,,,198000.0,Casa,bathrooms,Descartado por dato faltante
15569,2.0,1.0,,36.0,34.0,92000.0,Departamento,bathrooms,Descartado por dato faltante
15600,3.0,2.0,,138.0,110.0,395000.0,Departamento,bathrooms,Descartado por dato faltante
15611,3.0,2.0,,60.0,60.0,135000.0,Departamento,bathrooms,Descartado por dato faltante
15645,4.0,3.0,,80.0,80.0,270000.0,Departamento,bathrooms,Descartado por dato faltante
16835,2.0,1.0,,33.0,33.0,65000.0,Departamento,bathrooms,Descartado por dato faltante
17099,2.0,1.0,,31.0,30.0,80000.0,Departamento,bathrooms,Descartado por dato faltante
17100,2.0,1.0,,31.0,30.0,80000.0,Departamento,bathrooms,Descartado por dato faltante
17257,3.0,2.0,,57.0,57.0,135000.0,Departamento,bathrooms,Descartado por dato faltante
17598,2.0,1.0,,71.0,65.0,163802.0,Departamento,bathrooms,Descartado por dato faltante
17651,1.0,1.0,,33.0,30.0,85000.0,Departamento,bathrooms,Descartado por dato faltante
17862,3.0,2.0,,97.0,94.0,238000.0,Departamento,bathrooms,Descartado por dato faltante
17872,3.0,2.0,,51.0,51.0,58000.0,Departamento,bathrooms,Descartado por dato faltante
18105,8.0,8.0,,379.0,379.0,390000.0,Departamento,bathrooms,Descartado por dato faltante
18246,3.0,2.0,,68.0,68.0,128000.0,Departamento,bathrooms,Descartado por dato faltante
18531,1.0,1.0,,38.0,33.0,91000.0,Departamento,bathrooms,Descartado por dato faltante
18533,1.0,1.0,,25.0,25.0,30000.0,Departamento,bathrooms,Descartado por dato faltante
18535,1.0,1.0,,45.0,45.0,112500.0,Departamento,bathrooms,Descartado por dato faltante
18536,1.0,1.0,,40.0,40.0,105000.0,Departamento,bathrooms,Descartado por dato faltante
18626,4.0,3.0,,158.0,150.0,415000.0,Departamento,bathrooms,Descartado por dato faltante
18630,4.0,3.0,,113.0,104.0,240000.0,Departamento,bathrooms,Descartado por dato faltante
18702,3.0,2.0,,50.0,47.0,170000.0,Departamento,bathrooms,Descartado por dato faltante
18926,1.0,1.0,,26.0,26.0,92000.0,Departamento,bathrooms,Descartado por dato faltante
18942,3.0,2.0,,54.0,52.0,145000.0,Departamento,bathrooms,Descartado por dato faltante
19129,1.0,1.0,,,,175000.0,Departamento,bathrooms,Descartado por dato faltante
19148,2.0,1.0,,40.0,37.0,80000.0,Departamento,bathrooms,Descartado por dato faltante
19192,3.0,2.0,,85.0,73.0,299000.0,Departamento,bathrooms,Descartado por dato faltante
19224,5.0,4.0,,109.0,93.0,240000.0,Departamento,bathrooms,Descartado por dato faltante
19800,2.0,1.0,,,,155000.0,Departamento,bathrooms,Descartado por dato faltante
20012,3.0,2.0,,145.0,111.0,650000.0,Departamento,bathrooms,Descartado por dato faltante
20409,3.0,2.0,,135.0,77.0,315000.0,Departamento,bathrooms,Descartado por dato faltante
21087,1.0,1.0,,35.0,35.0,97000.0,Departamento,bathrooms,Descartado por dato faltante
21160,3.0,2.0,,78.0,64.0,130000.0,Departamento,bathrooms,Descartado por dato faltante
21175,3.0,2.0,,50.0,50.0,57000.0,Departamento,bathrooms,Descartado por dato faltante
21250,5.0,4.0,,430.0,,400000.0,Casa,bathrooms,Descartado por dato faltante
21267,1.0,0.0,,48.0,42.0,100000.0,Departamento,bathrooms,Descartado por dato faltante
21360,2.0,1.0,,46.0,40.0,131516.0,Departamento,bathrooms,Descartado por dato faltante
21368,2.0,1.0,,55.0,47.0,162080.0,Departamento,bathrooms,Descartado por dato faltante
21371,2.0,1.0,,51.0,47.0,152946.0,Departamento,bathrooms,Descartado por dato faltante
21373,2.0,1.0,,46.0,40.0,145607.0,Departamento,bathrooms,Descartado por dato faltante
21374,2.0,1.0,,51.0,47.0,145035.0,Departamento,bathrooms,Descartado por dato faltante
21375,2.0,1.0,,46.0,40.0,136213.0,Departamento,bathrooms,Descartado por dato faltante
21378,2.0,1.0,,46.0,40.0,129168.0,Departamento,bathrooms,Descartado por dato faltante
